statefips,year,ds_pm_pred,ds_pm_stdd
1,2011,10.696324437289554,3.15946183466834
1,2012,10.396600680395074,4.228621035586331
1,2013,10.039805406020891,4.201069923803548
1,2014,11.007063667375417,5.885860013036355
10,2011,9.671608988786238,2.614124760802803
10,2012,9.356773149574279,3.051981612911425
10,2013,9.101278870978018,3.039052339216311
10,2014,9.658788575979611,3.889157223192099
11,2011,10.415272176811816,2.239626229662509
11,2012,9.99627595323137,2.781698552981042
11,2013,9.326067107981939,2.638536905640162
11,2014,9.799117248029387,3.681483691895615
12,2011,7.455681584310381,2.374550453109537
12,2012,7.0111353336411,2.507249474056702
12,2013,6.568759363567113,2.389378269454138
12,2014,7.57057951835382,3.736958444098651
13,2011,11.359918643232988,3.079781411085847
13,2012,10.041768215571545,3.523223268802934
13,2013,9.552342040189158,3.434759872625059
13,2014,10.808668406285746,5.165472452166392
16,2011,7.449902828592443,3.131722438034384
16,2012,7.531260417812741,3.349962493765357
16,2013,7.793847006527535,3.676378171094971
16,2014,8.154183201801968,4.808552458306518
17,2011,11.430606496927135,2.856946501129336
17,2012,11.200065961326673,3.837468912050047
17,2013,10.808082583681907,4.109960768712171
17,2014,12.126284637519587,6.057283763159858
18,2011,11.275902907946659,3.006997788081828
18,2012,11.015159810156397,4.032699413021264
18,2013,10.90940483957705,4.099159983921369
18,2014,11.816501027669779,5.081229647323862
19,2011,9.757196170085513,2.950994074885845
19,2012,9.641992122205663,3.638597297002815
19,2013,9.342006667164799,3.55039929577418
19,2014,9.182765432959734,4.470201209265255
20,2011,9.621566961334282,3.440117464002846
20,2012,9.173640311794763,4.001060245120999
20,2013,8.926310463262765,3.970687309446718
20,2014,8.987404812204234,4.631410332076143
21,2011,10.726707831852079,3.085904832554825
21,2012,10.10686893420569,3.776686396505673
21,2013,10.072507501812151,3.891448073640887
21,2014,10.838099685975797,5.283737295828982
22,2011,9.506627916861331,2.935319653681807
22,2012,9.221427904707123,3.488136732384239
22,2013,8.602906072867099,3.309942614900264
22,2014,8.979991549339101,4.577981014251382
23,2011,7.461491780470671,2.958944994629825
23,2012,7.159167298429156,3.082937216695468
23,2013,6.806422596261172,3.052014668852203
23,2014,6.833292146040667,3.39867398173516
24,2011,10.055128276224917,2.570602561380476
24,2012,9.88919862570658,3.13973893677823
24,2013,9.283895440537725,3.02017689243529
24,2014,9.911095930150744,4.006279634107034
25,2011,9.146102532474687,2.5531741753648
25,2012,8.367248967020076,2.788431728401936
25,2013,8.17460219915128,2.80876855101623
25,2014,7.251954599538416,3.015328293457787
26,2011,9.751413608082637,2.902123164128289
26,2012,9.748496410374817,3.607934360661658
26,2013,9.119818627317117,3.449249702406784
26,2014,10.195035843581334,5.017687753113977
27,2011,9.65503210819763,3.483724410969165
